,words,category
0,He certainly didn't want a wife who was fickle as Ann .,adventure
1,"If he had married her , he'd have been asking for trouble .",adventure
2,"Sometimes he woke up in the middle of the night thinking of Ann , and then could not get back to sleep .",adventure
3,His plans and dreams had revolved around her so much and for so long that now he felt as if he had nothing .,adventure
4,The best antidote for the bitterness and disappointment that poisoned him was hard work .,adventure
5,"He found that if he was tired enough at night , he went to sleep simply because he was too exhausted to stay awake .",adventure
6,Each day he found himself thinking less often of Ann ; ;,adventure
7,"each day the hurt was a little duller , a little less poignant .",adventure
8,He had plenty of work to do .,adventure
9,"The grass in the meadows came fast , now that the warm weather was here .",adventure
10,"He could not afford to lose a drop of the precious water , so he spent most of his waking hours along the ditches in his meadows .",adventure
11,He had no idea how much time Budd would give him .,adventure
12,"He stopped every few minutes and leaned on his shovel as he studied the horizon , but nothing happened , each day dragging out with monotonous calm .",adventure
13,It could be some kind of trick Budd had thought up .,adventure
14,"No one walked in this country , least of all Ed Dow or Dutch Renfro or any of the rest of the Bar B crew .",adventure
15,"When they were closer and he saw that one was a woman , he was more puzzled than ever .",adventure
16,"He cleaned his shovel , left it against the fence , picked up his Winchester , and started downstream .",adventure
17,"His visitors had crawled through the south fence and were crossing the meadow , angling toward the house .",adventure
18,"Now he saw that both the man and woman were moving slowly and irregularly , staggering , as if they found it a struggle to remain on their feet .",adventure
19,"Reaching the house ahead of them , he waited with his Winchester in his hands .",adventure
20,"They crawled through the north fence and came on toward him , and now he saw that both were young , not more than nineteen or twenty .",adventure
21,"They were dirty , their clothes were torn , and the girl was so exhausted that she fell when she was still twenty feet from the front door .",adventure
22,"She lay there , making no effort to get back on her feet .",adventure
23,"Morgan hesitated , thinking that if this was a trick , it was a good one .",adventure
24,He didn't think it was possible for this couple to be pretending .,adventure
25,Morgan jerked his head toward the front door .,adventure
26,"Leaning his Winchester against the front of the house , he walked to the girl .",adventure
27,`` Get up .,adventure
28,There's water in the house '' .,adventure
29,She didn't move or say anything .,adventure
30,She had reached a point at which she didn't even care how she looked .,adventure
31,"Her blond hair was frowzy , her dress torn in several places , and her shoes were so completely worn out that they were practically no protection .",adventure
32,"He picked her up , sliding one hand under her shoulders , the other under her knees , and carried her into the house .",adventure
33,"She was amazingly light , and so relaxed in his arms that he wasn't even sure she was conscious .",adventure
34,No girl would go this far to fool a man so she could kill him .,adventure
35,"Besides , she had a sweet face that attracted him .",adventure
36,"Both had blonde hair and blue eyes , and there was even a faint similarity of features .",adventure
37,"Morgan filled the dipper from the water bucket on the shelf , went back into the front room , lifted the girl's head , and held the edge of the dipper to her mouth .",adventure
38,"She drank greedily , and murmured , `` Thank you '' , as he lowered her head .",adventure
39,"He had seen a few nester wagons go through the country , the families almost starving to death , but he had never seen any of them on foot and as bad off as these two .",adventure
40,The girl dropped off to sleep .,adventure
41,"Morgan returned to the kitchen , built a fire , and carried in several buckets of water from the spring which he poured into the copper boiler that he had placed on the stove .",adventure
42,"He brought his Winchester in from the front of the house , then faced the boy .",adventure
43,`` Who are you and what happened to you '' ? ?,adventure
44,`` That's my wife Sharon .,adventure
45,We ran out of money and we haven't eaten for two days '' .,adventure
46,`` What are you doing here '' ? ?,adventure
47,`` Are we in Wyoming '' ? ?,adventure
48,Morgan nodded .,adventure
49,Jones sighed as if relieved .,adventure
50,"`` We've been looking for work , but all the ranchers have turned us down '' .",adventure
51,`` You mean you dragged your wife all over hell's half-acre looking for work '' ? ?,adventure
52,Morgan demanded .,adventure
53,Why didn't you go there '' ? ?,adventure
54,"`` We didn't want town work '' , Jones said .",adventure
55,"`` This is a mighty empty country '' , Morgan said .",adventure
56,`` There's only one more ranch three miles north of here .,adventure
57,You'd have starved to death if you'd missed both places '' .,adventure
58,`` Then we're lucky we got here .,adventure
59,"Could you give us a job , Mr. ''",adventure
60,`` Morgan .,adventure
61,"He was silent a moment , thinking he could use a man this time of year , and if the girl could cook , it would give him more time in the meadows , but he knew nothing about the couple .",adventure
62,"They might kill him in his sleep , thinking there was money in the house .",adventure
63,The girl's thin face haunted him .,adventure
64,It wasn't the face of a killer .,adventure
65,He wasn't so sure about the boy .,adventure
66,"He hadn't shaved for several weeks , his sparse beard giving his face a pathetic , woebegone expression .",adventure
67,There was more to this than Jones had told him .,adventure
68,They were running from something .,adventure
69,"He'd be an idiot to let them stay he thought , but he couldn't send them on , either .",adventure
70,I guess you'd better go on in the morning '' .,adventure
71,"`` I've been mucking in a mine in the San Juan , but I used to work on a ranch .",adventure
